P,T,VL,VV,UL,UV,HL,HV,SL,SV
0.611656,0.009977501,0.0010002063,205.9977794,0,2374.911176,0.000516838,2500.910953,0,9.155492077
0.611657,0.01,0.001000206,205.9974595,0,2374.911207,0.000611782,2500.910995,0,9.155491474
0.62,0.196583464,0.001000194,203.3632956,0.787301241,2375.16862,0.787921361,2501.253863,0.002881153,9.15049709
0.64,0.634961693,0.001000167,197.321873,2.636587614,2375.773337,2.637227721,2502.059336,0.009641088,9.138796955
0.66,1.061365235,0.001000145,191.6382438,4.434733187,2376.361433,4.435393282,2502.842674,0.016203708,9.127462225
0.68,1.476472542,0.001000126,186.2812978,6.184671232,2376.93385,6.185351318,2503.605133,0.022580595,9.116470937
0.7,1.880904976,0.001000111,181.2234425,7.889085186,2377.491452,7.889785263,2504.347861,0.028782329,9.105803044
0.72,2.275233095,0.001000098,176.4401189,9.550436468,2378.03503,9.551156539,2505.071915,0.034818601,9.095440204
0.74,2.659982084,0.001000089,171.9093946,11.17098853,2378.565314,11.17172859,2505.778266,0.040698314,9.085365587
0.76,3.035636488,0.001000082,167.6116213,12.75282768,2379.082977,12.75358774,2506.467809,0.046429662,9.075563717
0.78,3.402644329,0.001000077,163.5291444,14.29788131,2379.588642,14.29866137,2507.141374,0.052020206,9.066020327
0.8,3.761420723,0.001000075,159.6460556,15.8079337,2380.082884,15.80873376,2507.799729,0.057476938,9.05672224
0.82,4.112351046,0.001000074,155.9479822,17.28464002,2380.56624,17.28546008,2508.443586,0.062806337,9.047657259
0.84,4.455793738,0.001000076,152.4219053,18.72953858,2381.039207,18.73037864,2509.073608,0.068014417,9.038814072
0.86,4.792082774,0.001000079,149.056004,20.14406167,2381.502249,20.14492173,2509.690412,0.073106771,9.03018217
0.88,5.121529862,0.001000085,145.8395206,21.52954516,2381.955799,21.53042524,2510.294577,0.078088612,9.021751772
0.9,5.444426395,0.001000091,142.7626428,22.88723708,2382.400261,22.88813716,2510.886639,0.082964802,9.013513758
0.92,5.761045194,0.001000099,139.8164026,24.21830517,2382.836014,24.21922526,2511.467105,0.087739887,9.005459614
0.94,6.071642067,0.001000108,136.9925868,25.5238437,2383.263415,25.5247838,2512.036446,0.092418125,8.997581375
0.96,6.376457209,0.001000119,134.2836591,26.80487958,2383.682796,26.80583969,2512.595108,0.097003505,8.989871584
0.98,6.675716455,0.001000131,131.6826916,28.06237781,2384.09447,28.06335794,2513.143508,0.101499772,8.982323245
1,6.969632413,0.001000143,129.1833047,29.2972464,2384.498734,29.29824655,2513.682039,0.105910448,8.97492979
1.02,7.258405488,0.001000157,126.7796136,30.51034083,2384.895866,30.51136099,2514.211072,0.110238847,8.967685042
1.04,7.542224805,0.001000172,124.466181,31.70246803,2385.286128,31.7035082,2514.730956,0.114488093,8.960583186
1.06,7.821269048,0.001000187,122.2379756,32.87439003,2385.669768,32.87545023,2515.242022,0.118661133,8.953618738
1.08,8.095707221,0.001000204,120.0903347,34.02682729,2386.047021,34.02790751,2515.744582,0.122760751,8.946786527
1.1,8.365699342,0.001000221,118.0189308,35.16046166,2386.418109,35.1615619,2516.238933,0.126789579,8.940081666
1.15,9.022204431,0.001000267,113.148246,37.91644261,2387.320215,37.91759292,2517.440698,0.136567977,8.923846938
1.2,9.654015854,0.001000317,108.6739882,40.56807816,2388.188087,40.56927854,2518.596873,0.145954697,8.908314117
1.25,10.26304437,0.00100037,104.54929,43.12349456,2389.024379,43.12474502,2519.710991,0.15498098,8.893425486
1.3,10.85098332,0.001000426,100.7344174,45.58988748,2389.831442,45.59118803,2520.786184,0.163674434,8.879130149
1.35,11.41934061,0.001000484,97.19545948,47.97366001,2390.611369,47.97501067,2521.825239,0.172059583,8.865383001
1.4,11.96946514,0.001000545,93.90329747,50.28053594,2391.366032,50.2819367,2522.830649,0.180158309,8.852143882
1.45,12.50256853,0.001000607,90.83278541,52.5156533,2392.097114,52.51710418,2523.804653,0.187990221,8.839376878
1.5,13.01974328,0.001000671,87.96209355,54.68364241,2392.806131,54.68514341,2524.749272,0.195572961,8.827049745
1.55,13.52197809,0.001000737,85.27217801,56.78869113,2393.494456,56.79024228,2525.666332,0.202922458,8.815133426
1.6,14.01017063,0.001000803,82.74634923,58.83460005,2394.163333,58.83620133,2526.557492,0.210053148,8.803601645
1.65,14.48513855,0.00100087,80.36991827,60.82482914,2394.813898,60.82648058,2527.424263,0.216978152,8.792430562
1.7,14.94762875,0.001000938,78.12990514,62.7625377,2395.447187,62.7642393,2528.268026,0.223709431,8.781598483
1.75,15.39832542,0.001001007,76.01479677,64.65061847,2396.064149,64.65237024,2529.090044,0.230257925,8.771085609
1.8,15.83785689,0.001001077,74.01434506,66.49172709,2396.665657,66.49352903,2529.891478,0.236633661,8.760873823
1.85,16.26680163,0.001001147,72.11939736,68.28830752,2397.252512,68.29015964,2530.673397,0.242845855,8.750946504
1.9,16.68569345,0.001001217,70.32175367,70.04261419,2397.825455,70.0445165,2531.436787,0.248902996,8.741288364
1.95,17.09502598,0.001001288,68.61404551,71.75673124,2398.385171,71.75868375,2532.18256,0.254812924,8.731885318
2,17.49525668,0.001001359,66.98963294,73.43258943,2398.932294,73.43459215,2532.91156,0.26058289,8.722724349
2.1,18.2700819,0.001001501,63.96726143,76.67657253,2399.991077,76.67867568,2534.322326,0.271729355,8.705081345
2.2,19.01322749,0.001001644,61.21303999,79.78746312,2401.006045,79.78966673,2535.674733,0.282390704,8.688273004
2.3,19.72735768,0.001001787,58.69252522,82.77649268,2401.980892,82.77879679,2536.9737,0.292608906,8.672224555
2.4,20.41480804,0.001001929,56.37695127,85.65350265,2402.918856,85.65590728,2538.223539,0.302420655,8.656870817
2.5,21.07763784,0.001002072,54.24210396,88.42716665,2403.822791,88.42967183,2539.428051,0.311858223,8.642154635
2.6,21.71767238,0.001002213,52.26745296,91.10516978,2404.695226,91.10777554,2540.590604,0.320950146,8.628025609
2.7,22.3365374,0.001002354,50.43547547,93.6943546,2405.538414,93.69706096,2541.714198,0.329721782,8.614439078
2.8,22.93568743,0.001002495,48.73112379,96.20084103,2406.354371,96.20364801,2542.801517,0.338195769,8.601355274
2.9,23.51642922,0.001002634,47.14140236,98.63012549,2407.144906,98.63303313,2543.854973,0.346392402,8.58873864
3,24.07994125,0.001002772,45.65502867,100.9871636,2407.911651,100.9901719,2544.876737,0.354329946,8.576557251
3.1,24.62729018,0.00100291,44.26215942,103.2764395,2408.656085,103.2795485,2545.868779,0.362024901,8.564782339
3.2,25.15944464,0.001003046,42.95416765,105.5020243,2409.379547,105.5052341,2546.832883,0.369492223,8.553387889
3.3,25.67728702,0.001003182,41.72346006,107.6676258,2410.083259,107.6709363,2547.770678,0.376745511,8.542350302
3.4,26.1816235,0.001003316,40.56332639,109.7766307,2410.768338,109.780042,2548.683648,0.383797169,8.5316481
3.5,26.67319267,0.001003449,39.46781436,111.8321413,2411.435806,111.8356534,2549.573156,0.390658539,8.521261685
3.6,27.15267293,0.001003582,38.43162539,113.8370065,2412.0866,113.8406194,2550.440452,0.397340025,8.511173122
3.7,27.62068891,0.001003713,37.45002703,115.793849,2412.721587,115.7975627,2551.286687,0.403851188,8.501365957
3.8,28.0778171,0.001003843,36.51877915,117.7050886,2413.341562,117.7089032,2552.112923,0.41020084,8.491825061
3.9,28.52459068,0.001003972,35.63407142,119.5729635,2413.947264,119.576879,2552.920143,0.416397119,8.48253649
4,28.9615038,0.0010041,34.79247005,121.3995473,2414.539376,121.4035637,2553.709256,0.422447555,8.473487362
4.2,29.80755222,0.001004352,33.22646739,124.9364093,2415.685325,124.9406276,2555.236488,0.434138337,8.456060618
4.4,30.61926715,0.0010046,31.79925597,128.3295388,2416.783976,128.3339591,2556.700703,0.44532338,8.439459373
4.6,31.39952812,0.001004845,30.49301988,131.5910131,2417.839312,131.5956354,2558.107204,0.456046301,8.423609627
4.8,32.15086002,0.001005085,29.29287857,134.7314193,2418.854821,134.7362437,2559.460638,0.46634525,8.408446879
5,32.87548952,0.001005321,28.18630501,137.7600924,2419.833579,137.765119,2560.765104,0.47625379,8.393914569
5.2,33.57539073,0.001005554,27.16267705,140.6853066,2420.778314,140.6905355,2562.024234,0.485801607,8.379962829
5.4,34.25232228,0.001005783,26.21292789,143.5144318,2421.691453,143.519863,2563.241263,0.49501509,8.366547467
5.6,34.90785789,0.001006008,25.32927083,146.2540619,2422.575169,146.2596956,2564.419086,0.503917802,8.353629138
5.8,35.54341167,0.00100623,24.50498054,148.910121,2423.431416,148.9159572,2565.560303,0.512530873,8.341172662
6,36.16025915,0.001006448,23.73421782,151.4879519,2424.261951,151.4939906,2566.667258,0.520873325,8.329146456
6.2,36.75955503,0.001006664,23.01188794,153.9923906,2425.06837,153.9986319,2567.742075,0.528962345,8.31752206
6.4,37.34234808,0.001006876,22.33352544,156.4278289,2425.852119,156.4342729,2568.786681,0.536813515,8.30627374
6.6,37.90959387,0.001007085,21.69519963,158.7982677,2426.614515,158.8049144,2569.802832,0.544441006,8.295378151
6.8,38.46216555,0.001007291,21.09343671,161.1073626,2427.356762,161.1142122,2570.792132,0.551857745,8.28481405
7,39.0008632,0.001007495,20.52515507,163.3584627,2428.079964,163.3655152,2571.75605,0.559075557,8.274562051
7.2,39.52642183,0.001007696,19.98761137,165.5546446,2428.785134,165.5619,2572.695936,0.566105287,8.264604415
