T,P,VL,VV,UL,UV,HL,HV,SL,SV
0.01,0.611657,0.001000,205.997459,0.0000,2374.9112,0.0006,2500.9110,0.0000,9.1555
0.5,0.633782639,0.001000,199.160072,2.0673,2375.5872,2.0680,2501.8114,0.0076,9.1424
1,0.657088049,0.001000,192.444749,4.1760,2376.2768,4.1767,2502.7299,0.0153,9.1291
1.5,0.681149463,0.001000,185.982754,6.2838,2376.9663,6.2845,2503.6483,0.0229,9.1158
2,0.705987906,0.001000,179.763589,8.3909,2377.6556,8.3916,2504.5666,0.0306,9.1027
2.5,0.731624882,0.001000,173.777229,10.4972,2378.3448,10.4979,2505.4846,0.0383,9.0896
3,0.758082381,0.001000,168.014098,12.6028,2379.0339,12.6035,2506.4024,0.0459,9.0765
3.5,0.785382887,0.001000,162.465047,14.7077,2379.7228,14.7085,2507.3200,0.0535,9.0635
4,0.813549384,0.001000,157.121332,16.8119,2380.4115,16.8127,2508.2375,0.0611,9.0506
4.5,0.842605371,0.001000,151.974600,18.9155,2381.1001,18.9163,2509.1547,0.0687,9.0377
5,0.872574861,0.001000,147.016865,21.0185,2381.7885,21.0194,2510.0717,0.0763,9.0249
5.5,0.903482398,0.001000,142.240491,23.1209,2382.4768,23.1218,2510.9885,0.0838,9.0121
6,0.93535306,0.001000,137.638180,25.2227,2383.1648,25.2237,2511.9051,0.0913,8.9994
6.5,0.96821247,0.001000,133.202952,27.3240,2383.8528,27.3250,2512.8215,0.0989,8.9868
7,1.002086803,0.001000,128.928129,29.4248,2384.5405,29.4258,2513.7377,0.1064,8.9742
7.5,1.037002795,0.001000,124.807325,31.5251,2385.2281,31.5262,2514.6536,0.1139,8.9616
8,1.072987755,0.001000,120.834430,33.6249,2385.9155,33.6260,2515.5693,0.1213,8.9492
8.5,1.110069569,0.001000,117.003597,35.7243,2386.6027,35.7254,2516.4848,0.1288,8.9368
9,1.14827671,0.001000,113.309229,37.8232,2387.2897,37.8244,2517.4001,0.1362,8.9244
9.5,1.187638251,0.001000,109.745972,39.9218,2387.9766,39.9229,2518.3151,0.1437,8.9121
10,1.228183869,0.001000,106.308697,42.0199,2388.6632,42.0211,2519.2298,0.1511,8.8998
10.5,1.269943856,0.001000,102.992494,44.1176,2389.3497,44.1189,2520.1444,0.1585,8.8877
11,1.312949129,0.001000,99.792663,46.2149,2390.0360,46.2162,2521.0586,0.1659,8.8755
11.5,1.357231237,0.001000,96.704700,48.3119,2390.7220,48.3133,2521.9727,0.1732,8.8634
12,1.402822373,0.001001,93.724291,50.4086,2391.4079,50.4100,2522.8864,0.1806,8.8514
